,change_val
0,-0.133333
1,-0.0916667
2,-0.0333333
3,-0.0222222
4,-0.108333
5,-0.15
6,-0.0333333
7,-0.0444444
8,-0.0916667
9,-0.15
10,0.0222222
11,0.0266667
12,0.0666667
13,-0.2
14,0.133333
15,0.133333
16,0.233333
17,0.244444
18,0.177778
19,0.222222
20,0.0333333
21,0.0444444
22,0.0222222
23,0.0888889
24,-0.233333
25,0.111111
26,0.133333
27,0.211111
28,0.166667
29,0.122222
30,0.244444
31,0.0333333
32,0.0444444
33,0.0666667
34,-0.0333333
35,0.0333333
36,0.111111
37,0.0888889
38,0.0
39,0.155556
40,0.0666667
41,0.0888889
42,0.0444444
43,0.0333333
44,0.116667
45,0.0333333
46,0.0166667
47,-0.1
48,0.0555556
49,0.311111
50,-0.155556
51,0.0222222
52,0.0444444
53,0.155556
54,0.155556
55,-0.0916667
56,-0.133333
57,-0.0333333
58,-0.0222222
59,-0.108333
60,-0.15
61,-0.0333333
62,-0.0444444
63,-0.0916667
64,-0.15
65,0.0222222
66,0.0266667
67,0.0666667
68,-0.2
69,0.133333
70,0.133333
71,0.233333
72,0.244444
73,0.177778
74,0.222222
75,0.0333333
76,0.0444444
77,0.0222222
78,0.0888889
79,-0.233333
80,0.111111
81,0.133333
82,0.211111
83,0.166667
84,0.122222
85,0.244444
86,0.0333333
87,0.0444444
88,0.0666667
89,-0.0333333
90,0.0333333
91,0.111111
92,0.0888889
93,0.0
94,0.155556
95,0.0666667
96,0.0888889
97,0.0444444
98,0.0333333
99,0.116667
100,0.0333333
101,0.0166667
102,-0.1
103,0.0555556
104,0.311111
105,-0.155556
106,0.0222222
107,0.0444444
108,0.155556
109,0.155556
110,-0.0916667
111,-0.133333
112,-0.0333333
113,-0.0222222
114,-0.108333
115,-0.15
116,-0.0333333
117,-0.0444444
118,-0.0916667
119,-0.15
120,0.0222222
121,0.0266667
122,0.0666667
123,-0.2
124,0.133333
125,0.133333
126,0.233333
127,0.244444
128,0.177778
129,0.222222
130,0.0333333
131,0.0444444
132,0.0222222
133,0.0888889
134,-0.233333
135,0.111111
136,0.133333
137,0.211111
138,0.166667
139,0.122222
140,0.244444
141,0.0333333
142,0.0444444
143,0.0666667
144,-0.0333333
145,0.0333333
146,0.111111
147,0.0888889
148,0.0
149,0.155556
150,0.0666667
151,0.0888889
152,0.0444444
153,0.0333333
154,0.116667
155,0.0333333
156,0.0166667
157,-0.1
158,0.0555556
159,0.311111
160,-0.155556
161,0.0222222
162,0.0444444
163,0.155556
164,0.155556
165,-0.0916667
166,-0.133333
167,-0.0333333
168,-0.0222222
169,-0.108333
170,-0.15
171,-0.0333333
172,-0.0444444
173,-0.0916667
174,-0.15
175,0.0222222
176,0.0266667
177,0.0666667
178,-0.2
179,0.133333
180,0.133333
181,0.233333
182,0.244444
183,0.177778
184,0.222222
185,0.0333333
186,0.0444444
187,0.0222222
188,0.0888889
189,-0.233333
190,0.111111
191,0.133333
192,0.211111
193,0.166667
194,0.122222
195,0.244444
196,0.0333333
197,0.0444444
198,0.0666667
199,-0.0333333
200,0.0333333
201,0.111111
202,0.0888889
203,0.0
204,0.155556
205,0.0666667
206,0.0888889
207,0.0444444
208,0.0333333
209,0.116667
210,0.0333333
211,0.0166667
212,-0.1
213,0.0555556
214,0.311111
215,-0.155556
216,0.0222222
217,0.0444444
218,0.155556
219,0.155556
